[Epoch:   0/100] Training Loss: 0.175, Testing Loss: 0.174, Training Acc: 0.513, Testing Acc: 0.529
[Epoch:   1/100] Training Loss: 0.168, Testing Loss: 0.173, Training Acc: 0.585, Testing Acc: 0.559
[Epoch:   2/100] Training Loss: 0.154, Testing Loss: 0.166, Training Acc: 0.661, Testing Acc: 0.624
[Epoch:   3/100] Training Loss: 0.133, Testing Loss: 0.176, Training Acc: 0.736, Testing Acc: 0.611
[Epoch:   4/100] Training Loss: 0.107, Testing Loss: 0.192, Training Acc: 0.803, Testing Acc: 0.626
[Epoch:   5/100] Training Loss: 0.084, Testing Loss: 0.221, Training Acc: 0.855, Testing Acc: 0.616
[Epoch:   6/100] Training Loss: 0.066, Testing Loss: 0.260, Training Acc: 0.889, Testing Acc: 0.603
[Epoch:   7/100] Training Loss: 0.050, Testing Loss: 0.299, Training Acc: 0.918, Testing Acc: 0.638
[Epoch:   8/100] Training Loss: 0.036, Testing Loss: 0.319, Training Acc: 0.945, Testing Acc: 0.628
[Epoch:   9/100] Training Loss: 0.027, Testing Loss: 0.354, Training Acc: 0.961, Testing Acc: 0.628
[Epoch:  10/100] Training Loss: 0.021, Testing Loss: 0.386, Training Acc: 0.970, Testing Acc: 0.622
[Epoch:  11/100] Training Loss: 0.014, Testing Loss: 0.403, Training Acc: 0.981, Testing Acc: 0.617
[Epoch:  12/100] Training Loss: 0.011, Testing Loss: 0.445, Training Acc: 0.987, Testing Acc: 0.638
[Epoch:  13/100] Training Loss: 0.011, Testing Loss: 0.444, Training Acc: 0.987, Testing Acc: 0.633
[Epoch:  14/100] Training Loss: 0.014, Testing Loss: 0.476, Training Acc: 0.982, Testing Acc: 0.632
[Epoch:  15/100] Training Loss: 0.020, Testing Loss: 0.470, Training Acc: 0.970, Testing Acc: 0.618
[Epoch:  16/100] Training Loss: 0.021, Testing Loss: 0.469, Training Acc: 0.969, Testing Acc: 0.639
[Epoch:  17/100] Training Loss: 0.018, Testing Loss: 0.504, Training Acc: 0.974, Testing Acc: 0.616
[Epoch:  18/100] Training Loss: 0.011, Testing Loss: 0.501, Training Acc: 0.986, Testing Acc: 0.634
[Epoch:  19/100] Training Loss: 0.006, Testing Loss: 0.518, Training Acc: 0.995, Testing Acc: 0.644
[Epoch:  20/100] Training Loss: 0.002, Testing Loss: 0.543, Training Acc: 0.999, Testing Acc: 0.642
[Epoch:  21/100] Training Loss: 0.001, Testing Loss: 0.549, Training Acc: 1.000, Testing Acc: 0.642
[Epoch:  22/100] Training Loss: 0.000, Testing Loss: 0.566, Training Acc: 1.000, Testing Acc: 0.641
