[Epoch:   0/ 30] Training Loss: 0.174, Testing Loss: 0.173, Training Acc: 0.509, Testing Acc: 0.529
[Epoch:   1/ 30] Training Loss: 0.173, Testing Loss: 0.173, Training Acc: 0.509, Testing Acc: 0.534
[Epoch:   2/ 30] Training Loss: 0.173, Testing Loss: 0.173, Training Acc: 0.516, Testing Acc: 0.531
[Epoch:   3/ 30] Training Loss: 0.173, Testing Loss: 0.172, Training Acc: 0.529, Testing Acc: 0.536
[Epoch:   4/ 30] Training Loss: 0.172, Testing Loss: 0.172, Training Acc: 0.535, Testing Acc: 0.542
[Epoch:   5/ 30] Training Loss: 0.172, Testing Loss: 0.172, Training Acc: 0.541, Testing Acc: 0.550
[Epoch:   6/ 30] Training Loss: 0.172, Testing Loss: 0.172, Training Acc: 0.544, Testing Acc: 0.537
[Epoch:   7/ 30] Training Loss: 0.171, Testing Loss: 0.172, Training Acc: 0.547, Testing Acc: 0.552
[Epoch:   8/ 30] Training Loss: 0.171, Testing Loss: 0.172, Training Acc: 0.551, Testing Acc: 0.546
[Epoch:   9/ 30] Training Loss: 0.170, Testing Loss: 0.172, Training Acc: 0.561, Testing Acc: 0.546
[Epoch:  10/ 30] Training Loss: 0.169, Testing Loss: 0.172, Training Acc: 0.572, Testing Acc: 0.553
[Epoch:  11/ 30] Training Loss: 0.168, Testing Loss: 0.172, Training Acc: 0.583, Testing Acc: 0.554
[Epoch:  12/ 30] Training Loss: 0.167, Testing Loss: 0.172, Training Acc: 0.590, Testing Acc: 0.564
[Epoch:  13/ 30] Training Loss: 0.165, Testing Loss: 0.171, Training Acc: 0.601, Testing Acc: 0.564
[Epoch:  14/ 30] Training Loss: 0.164, Testing Loss: 0.172, Training Acc: 0.617, Testing Acc: 0.568
[Epoch:  15/ 30] Training Loss: 0.162, Testing Loss: 0.171, Training Acc: 0.621, Testing Acc: 0.571
[Epoch:  16/ 30] Training Loss: 0.159, Testing Loss: 0.171, Training Acc: 0.639, Testing Acc: 0.567
[Epoch:  17/ 30] Training Loss: 0.157, Testing Loss: 0.172, Training Acc: 0.649, Testing Acc: 0.577
[Epoch:  18/ 30] Training Loss: 0.154, Testing Loss: 0.170, Training Acc: 0.655, Testing Acc: 0.595
[Epoch:  19/ 30] Training Loss: 0.150, Testing Loss: 0.169, Training Acc: 0.673, Testing Acc: 0.606
[Epoch:  20/ 30] Training Loss: 0.147, Testing Loss: 0.169, Training Acc: 0.683, Testing Acc: 0.608
[Epoch:  21/ 30] Training Loss: 0.143, Testing Loss: 0.166, Training Acc: 0.697, Testing Acc: 0.618
[Epoch:  22/ 30] Training Loss: 0.139, Testing Loss: 0.173, Training Acc: 0.708, Testing Acc: 0.605
[Epoch:  23/ 30] Training Loss: 0.135, Testing Loss: 0.172, Training Acc: 0.725, Testing Acc: 0.606
[Epoch:  24/ 30] Training Loss: 0.131, Testing Loss: 0.169, Training Acc: 0.736, Testing Acc: 0.629
[Epoch:  25/ 30] Training Loss: 0.126, Testing Loss: 0.172, Training Acc: 0.754, Testing Acc: 0.626
[Epoch:  26/ 30] Training Loss: 0.122, Testing Loss: 0.175, Training Acc: 0.762, Testing Acc: 0.636
[Epoch:  27/ 30] Training Loss: 0.118, Testing Loss: 0.180, Training Acc: 0.775, Testing Acc: 0.623
[Epoch:  28/ 30] Training Loss: 0.114, Testing Loss: 0.181, Training Acc: 0.786, Testing Acc: 0.616
[Epoch:  29/ 30] Training Loss: 0.110, Testing Loss: 0.184, Training Acc: 0.797, Testing Acc: 0.631
