[Epoch:   0/100] Training Loss: 0.174, Testing Loss: 0.174, Training Acc: 0.513, Testing Acc: 0.485
[Epoch:   1/100] Training Loss: 0.173, Testing Loss: 0.174, Training Acc: 0.526, Testing Acc: 0.492
[Epoch:   2/100] Training Loss: 0.172, Testing Loss: 0.174, Training Acc: 0.541, Testing Acc: 0.523
[Epoch:   3/100] Training Loss: 0.172, Testing Loss: 0.174, Training Acc: 0.542, Testing Acc: 0.504
[Epoch:   4/100] Training Loss: 0.171, Testing Loss: 0.173, Training Acc: 0.547, Testing Acc: 0.517
[Epoch:   5/100] Training Loss: 0.171, Testing Loss: 0.173, Training Acc: 0.559, Testing Acc: 0.516
[Epoch:   6/100] Training Loss: 0.170, Testing Loss: 0.173, Training Acc: 0.570, Testing Acc: 0.549
[Epoch:   7/100] Training Loss: 0.169, Testing Loss: 0.172, Training Acc: 0.577, Testing Acc: 0.547
[Epoch:   8/100] Training Loss: 0.168, Testing Loss: 0.173, Training Acc: 0.586, Testing Acc: 0.547
[Epoch:   9/100] Training Loss: 0.167, Testing Loss: 0.171, Training Acc: 0.594, Testing Acc: 0.569
[Epoch:  10/100] Training Loss: 0.165, Testing Loss: 0.171, Training Acc: 0.608, Testing Acc: 0.541
[Epoch:  11/100] Training Loss: 0.163, Testing Loss: 0.170, Training Acc: 0.616, Testing Acc: 0.591
[Epoch:  12/100] Training Loss: 0.161, Testing Loss: 0.171, Training Acc: 0.629, Testing Acc: 0.575
[Epoch:  13/100] Training Loss: 0.159, Testing Loss: 0.169, Training Acc: 0.640, Testing Acc: 0.588
[Epoch:  14/100] Training Loss: 0.156, Testing Loss: 0.169, Training Acc: 0.648, Testing Acc: 0.586
[Epoch:  15/100] Training Loss: 0.154, Testing Loss: 0.169, Training Acc: 0.662, Testing Acc: 0.594
[Epoch:  16/100] Training Loss: 0.150, Testing Loss: 0.173, Training Acc: 0.672, Testing Acc: 0.589
[Epoch:  17/100] Training Loss: 0.148, Testing Loss: 0.171, Training Acc: 0.680, Testing Acc: 0.601
[Epoch:  18/100] Training Loss: 0.145, Testing Loss: 0.174, Training Acc: 0.693, Testing Acc: 0.605
[Epoch:  19/100] Training Loss: 0.142, Testing Loss: 0.173, Training Acc: 0.704, Testing Acc: 0.607
[Epoch:  20/100] Training Loss: 0.138, Testing Loss: 0.177, Training Acc: 0.712, Testing Acc: 0.606
[Epoch:  21/100] Training Loss: 0.135, Testing Loss: 0.178, Training Acc: 0.727, Testing Acc: 0.599
[Epoch:  22/100] Training Loss: 0.132, Testing Loss: 0.177, Training Acc: 0.737, Testing Acc: 0.602
[Epoch:  23/100] Training Loss: 0.129, Testing Loss: 0.178, Training Acc: 0.742, Testing Acc: 0.619
[Epoch:  24/100] Training Loss: 0.125, Testing Loss: 0.184, Training Acc: 0.755, Testing Acc: 0.597
[Epoch:  25/100] Training Loss: 0.121, Testing Loss: 0.183, Training Acc: 0.767, Testing Acc: 0.605
[Epoch:  26/100] Training Loss: 0.118, Testing Loss: 0.188, Training Acc: 0.771, Testing Acc: 0.591
[Epoch:  27/100] Training Loss: 0.115, Testing Loss: 0.191, Training Acc: 0.781, Testing Acc: 0.600
[Epoch:  28/100] Training Loss: 0.111, Testing Loss: 0.193, Training Acc: 0.792, Testing Acc: 0.606
[Epoch:  29/100] Training Loss: 0.108, Testing Loss: 0.195, Training Acc: 0.800, Testing Acc: 0.598
